Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,cpi_score
Lithuania,6.215499878,1.193559647,0.0,0.795421183,0.42046079,0.053691041,0.081350274,2.238146067,Europe,2020,60
Luxembourg,7.237500191,1.536676049,0.0,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352,Europe,2020,80
Madagascar,4.165599823,0.244553208,0.0,0.500617027,0.192967549,0.191190064,0.076248638,2.136298418,Africa,2020,25
Malawi,3.538000107,0.176534727,0.0,0.446163297,0.487389833,0.213185057,0.131633952,1.552718282,Africa,2020,30
Malaysia,5.384300232,1.168421626,0.0,0.788511872,0.596941531,0.274886161,0.062163133,1.319420815,Asia,2020,51
Mali,4.729300022,0.352462649,0.0,0.234981522,0.377534449,0.16966705,0.062146276,2.559335232,Africa,2020,30
Malta,6.772799969,1.252513289,0.0,0.972042024,0.633239031,0.341180831,0.178864077,1.952012062,Europe,2020,53
Mauritania,4.374599934,0.539684892,0.0,0.425184816,0.185714483,0.128899664,0.122257635,1.85955739,Africa,2020,29
Mauritius,6.101299763,1.07366395,0.0,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543,Africa,2020,53
Mexico,6.465000153,1.024387479,0.0,0.831601024,0.553892553,0.083094485,0.083133668,2.662540197,North America,2020,31
Moldova,5.607500076,0.707916796,0.0,0.713299453,0.389571488,0.174049184,0.014378744,2.370968342,Europe,2020,34
Mongolia,5.456200123,0.904872775,0.0,0.615788162,0.355703115,0.263885736,0.046533126,1.810527563,Asia,2020,35
Montenegro,5.54610014,1.010150075,0.0,0.839028895,0.303223848,0.14901033,0.098435111,1.880565882,Europe,2020,45
Morocco,5.094799995,0.75862211,0.0,0.745096922,0.450054139,0.040032551,0.077385604,2.378402472,Africa,2020,40
Myanmar,4.308000088,0.67809093,0.0,0.495443076,0.597478867,0.569813728,0.187530354,0.681462526,Asia,2020,28
Nepal,5.137199879,0.444050372,0.0,0.66887939,0.480608255,0.300971806,0.127502963,2.014386892,Asia,2020,33
Netherlands,7.448900223,1.338946342,0.0,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,Europe,2020,82
New Zealand,7.299600124,1.242317915,0.0,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,Australia,2020,88
Nicaragua,6.13710022,0.620033145,0.0,0.803093255,0.560117304,0.212871477,0.174084574,2.496081114,South America,2020,22
Niger,4.909599781,0.108330332,0.0,0.298816353,0.435311615,0.208176896,0.137554765,3.017630577,Africa,2020,32
Nigeria,4.724100113,0.645901859,0.0,0.167835936,0.435079455,0.221328124,0.047589935,2.219635487,Africa,2020,25
Norway,7.487999916,1.42420733,0.0,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,Europe,2020,84
Pakistan,5.69329977,0.616799474,0.0,0.469933242,0.405421734,0.228705063,0.122592121,2.976876736,Asia,2020,31
Panama,6.304800034,1.097667813,0.0,0.878546536,0.57984978,0.097207308,0.054230526,2.221176147,South America,2020,35
Paraguay,5.692100048,0.897990823,0.0,0.735869646,0.586510062,0.204299241,0.065077379,1.83412528,South America,2020,28
Peru,5.796800137,0.91854918,0.0,0.824444175,0.513210058,0.091611817,0.02703266,2.213499546,South America,2020,38
Philippines,6.006000042,0.775120676,0.0,0.602189481,0.621915162,0.129260212,0.130385727,2.501741886,Asia,2020,34
Poland,6.186299801,1.16922915,0.0,0.868038476,0.557903528,0.063374244,0.160541251,2.056797981,Europe,2020,56
Portugal,5.910900116,1.168800831,0.0,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708,Europe,2020,61
Romania,6.123700142,1.120401621,0.0,0.79229486,0.534852326,0.068181619,0.000829569,2.412749767,Europe,2020,44
Russia,5.546000004,1.126999617,0.0,0.68044591,0.399499595,0.099041916,0.045699362,1.815716743,Europe,2020,30
Rwanda,3.312299967,0.343242675,0.0,0.572383285,0.604087889,0.235704988,0.485542476,0.548444986,Africa,2020,54
Saudi Arabia,6.406499863,1.334328532,0.0,0.759818137,0.548477471,0.087440684,0.163322315,2.203118801,Asia,2020,53
Senegal,4.980800152,0.504061818,0.0,0.518391907,0.352400899,0.164397135,0.081865937,2.405123949,Africa,2020,45
Serbia,5.77820015,0.988181829,0.0,0.828403294,0.395428419,0.15028289,0.059447147,2.029040098,Europe,2020,38
Sierra Leone,3.926399946,0.240560383,0.0,0.203953966,0.382027686,0.257647008,0.047940936,2.046271801,Africa,2020,33
Singapore,6.377099991,1.519580126,0.0,1.137814283,0.635317206,0.218770906,0.533162236,0.937031746,Asia,2020,85
Slovakia,6.280600071,1.194837689,0.0,0.853465259,0.423542529,0.116729774,0.011291441,2.256422043,Europe,2020,49
Slovenia,6.363399982,1.208652496,0.0,0.932548046,0.646700144,0.145701498,0.076516323,1.888586521,Europe,2020,60
South Africa,4.814099789,0.902140439,0.0,0.407034069,0.43478182,0.126406848,0.05950214,1.625117302,Africa,2020,44
Spain,6.400899887,1.230535269,0.0,1.051343083,0.425983816,0.16530548,0.109579779,1.997088432,Europe,2020,62
Sri Lanka,4.327000141,0.897986948,0.0,0.792036712,0.528632462,0.252666146,0.049444564,0.611288548,Asia,2020,38
Sweden,7.353499889,1.322235227,0.0,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,Europe,2020,85
Switzerland,7.559899807,1.39077425,0.0,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,Europe,2020,85
Tajikistan,5.555699825,0.474874616,0.0,0.680594802,0.521141171,0.182417125,0.221779913,2.25650835,Asia,2020,25
Tanzania,3.476200104,0.457163125,0.0,0.442677855,0.509343088,0.27154091,0.203880861,0.718963385,Africa,2020,38
Thailand,5.998799801,1.007029295,0.0,0.793855846,0.609449804,0.376709014,0.031837862,1.832384109,Asia,2020,36
Togo,4.187200069,0.268116266,0.0,0.342731178,0.303539038,0.200774252,0.114826456,2.409595251,Africa,2020,29
Tunisia,4.392199993,0.874742687,0.0,0.781156719,0.235860556,0.055881143,0.043899573,1.528496742,Africa,2020,44
Turkey,5.131800175,1.127169251,0.0,0.781335294,0.25440076,0.085885569,0.120983243,1.564816713,Asia,2020,40
Turkmenistan,5.119100094,1.008963585,0.0,0.612448037,0.515236676,0.323129326,0.03350389,1.115337372,Asia,2020,19
Uganda,4.43200016,0.312337428,0.0,0.378311664,0.401682556,0.264807373,0.063818842,1.958671093,Africa,2020,27
Ukraine,4.56069994,0.780434608,0.0,0.698674381,0.319423705,0.178551316,0.00965116,1.252669334,Europe,2020,33
United Arab Emirates,6.790800095,1.431086421,0.0,0.787814438,0.652936101,0.28065598,0.220213518,2.166965961,Asia,2020,71
United Kingdom,7.164500237,1.273061037,0.0,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992,Europe,2020,77
United States,6.939599991,1.37398684,0.0,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794,North America,2020,67
Uruguay,6.440100193,1.071000457,0.0,0.856928885,0.59426707,0.132143691,0.193425074,2.167276382,South America,2020,71
Uzbekistan,6.257599831,0.696652949,0.0,0.716703713,0.693270326,0.363311023,0.280260265,2.073346615,Asia,2020,26
Venezuela,5.053199768,0.770238638,0.0,0.76702553,0.271717221,0.087179154,0.063624777,1.74484086,South America,2020,15
Vietnam,5.353499889,0.718092382,0.0,0.819133997,0.650835574,0.136488721,0.089848459,1.685977936,Asia,2020,36
Yemen,3.527400017,0.392701775,0.0,0.41500017,0.243721485,0.094689012,0.087352127,1.116472721,Asia,2020,15
Zambia,3.759399891,0.536833763,0.0,0.36359334,0.49131754,0.250620902,0.086705238,1.134339333,Africa,2020,33
Zimbabwe,3.299200058,0.425564021,0.0,0.375037611,0.37740472,0.151349187,0.080928579,0.841031075,Africa,2020,24
