Country,Year,Index,Rank
Afghanistan,2020,2.567,153
Albania,2020,4.883,105
Algeria,2020,5.005,100
Argentina,2020,5.975,55
Armenia,2020,4.677,116
Australia,2020,7.223,12
Austria,2020,7.294,9
Azerbaijan,2020,5.165,89
Bahrain,2020,6.227,40
Bangladesh,2020,4.833,107
Belarus,2020,5.54,75
Belgium,2020,6.864,20
Benin,2020,5.216,86
Bolivia,2020,5.747,65
Bosnia and Herzegovina,2020,5.674,69
Botswana,2020,3.479,147
Brazil,2020,6.376,32
Bulgaria,2020,5.102,96
Burkina Faso,2020,4.769,112
Burundi,2020,3.775,140
Cambodia,2020,4.848,106
Cameroon,2020,5.085,98
Canada,2020,7.232,11
Central African Republic,2020,3.476,149
Chad,2020,4.423,127
Chile,2020,6.228,39
China,2020,5.124,94
Colombia,2020,6.163,44
Comoros,2020,4.289,134
Congo Brazzaville,2020,5.194,88
Congo Kinshasa,2020,4.311,131
Costa Rica,2020,7.121,15
Croatia,2020,5.505,79
Cyprus,2020,6.159,45
Czechia,2020,6.911,19
Denmark,2020,7.646,2
Dominican Republic,2020,5.689,68
Ecuador,2020,5.925,58
Egypt,2020,4.151,138
El Salvador,2020,6.348,34
Estonia,2020,6.022,51
Ethiopia,2020,4.186,136
Finland,2020,7.809,1
France,2020,6.664,23
Gabon,2020,4.829,108
Gambia,2020,4.751,113
Georgia,2020,4.673,117
Germany,2020,7.076,17
Ghana,2020,5.148,91
Greece,2020,5.515,77
Guatemala,2020,6.399,29
Guinea,2020,4.949,102
Haiti,2020,3.721,142
Honduras,2020,5.953,56
Hong Kong,2020,5.51,78
Hungary,2020,6.0,53
Iceland,2020,7.504,4
India,2020,3.573,144
Indonesia,2020,5.286,84
Iran,2020,4.672,118
Iraq,2020,4.785,110
Ireland,2020,7.094,16
Israel,2020,7.129,14
Italy,2020,6.387,30
Ivory Coast,2020,5.233,85
Jamaica,2020,5.89,60
Japan,2020,5.871,62
Jordan,2020,4.633,119
Kazakhstan,2020,6.058,50
Kenya,2020,4.583,121
Kosovo,2020,6.325,35
Kuwait,2020,6.102,48
Kyrgyzstan,2020,5.542,74
Laos,2020,4.889,104
Latvia,2020,5.95,57
Lebanon,2020,4.772,111
Lesotho,2020,3.653,143
Liberia,2020,4.558,124
Libya,2020,5.489,80
Lithuania,2020,6.215,41
Luxembourg,2020,7.238,10
Madagascar,2020,4.166,137
Malawi,2020,3.538,145
Malaysia,2020,5.384,82
Maldives,2020,5.198,87
Mali,2020,4.729,114
Malta,2020,6.773,22
Mauritania,2020,4.375,129
Mauritius,2020,6.101,49
Mexico,2020,6.465,24
Moldova,2020,5.608,70
Mongolia,2020,5.456,81
Montenegro,2020,5.546,72
Morocco,2020,5.095,97
Mozambique,2020,4.624,120
Myanmar,2020,4.308,133
Namibia,2020,4.571,122
Nepal,2020,5.137,92
Netherlands,2020,7.449,6
New Zealand,2020,7.3,8
Nicaragua,2020,6.137,46
Niger,2020,4.91,103
Nigeria,2020,4.724,115
North Cyprus,2020,5.536,76
North Macedonia,2020,5.16,90
Norway,2020,7.488,5
Pakistan,2020,5.693,66
Palestine,2020,4.553,125
Panama,2020,6.305,36
Paraguay,2020,5.692,67
Peru,2020,5.797,63
Philippines,2020,6.006,52
Poland,2020,6.186,43
Portugal,2020,5.911,59
Romania,2020,6.124,47
Russia,2020,5.546,73
Rwanda,2020,3.312,150
Saudi Arabia,2020,6.406,27
Senegal,2020,4.981,101
Serbia,2020,5.778,64
Sierra Leone,2020,3.926,139
Singapore,2020,6.377,31
Slovakia,2020,6.281,37
Slovenia,2020,6.363,33
South Africa,2020,4.814,109
South Korea,2020,5.872,61
South Sudan,2020,2.817,152
Spain,2020,6.401,28
Sri Lanka,2020,4.327,130
Swaziland,2020,4.308,132
Sweden,2020,7.353,7
Switzerland,2020,7.56,3
Taiwan,2020,6.455,25
Tajikistan,2020,5.556,71
Tanzania,2020,3.476,148
Thailand,2020,5.999,54
Togo,2020,4.187,135
Trinidad and Tobago,2020,6.192,42
Tunisia,2020,4.392,128
Turkiye,2020,5.132,93
Turkmenistan,2020,5.119,95
Uganda,2020,4.432,126
Ukraine,2020,4.561,123
United Arab Emirates,2020,6.791,21
United Kingdom,2020,7.165,13
United States,2020,6.94,18
Uruguay,2020,6.44,26
Uzbekistan,2020,6.258,38
Venezuela,2020,5.053,99
Vietnam,2020,5.353,83
Yemen,2020,3.527,146
Zambia,2020,3.759,141
Zimbabwe,2020,3.299,151
